Time ; x ; y ; z
0.0200;0.0383;-0.9152;0.1209
0.0400;0.0383;-0.9152;0.1209
0.0600;0.0686;-0.9050;0.1292
0.0800;0.0686;-0.9050;0.1292
0.1000;0.0440;-0.8952;0.1226
0.1200;0.0361;-0.8979;0.0782
0.1400;0.0361;-0.8979;0.0782
0.1600;-0.0110;-0.9123;-0.0569
0.1800;-0.0110;-0.9123;-0.0569
0.2000;0.0259;-0.8678;-0.1119
0.2200;-0.0193;-0.8473;-0.2628
0.2400;-0.0193;-0.8473;-0.2628
0.2600;-0.0835;-0.8124;-0.3259
0.2800;-0.0835;-0.8124;-0.3259
0.3000;-0.0589;-0.7674;-0.3339
0.3200;-0.0589;-0.7674;-0.3339
0.3400;0.0349;-0.6641;-0.2428
0.3600;0.0349;-0.6641;-0.2428
0.3800;0.0193;-0.5723;-0.2797
0.4000;0.0044;-0.2586;-0.3376
0.4200;0.0044;-0.2586;-0.3376
0.4400;0.0461;0.0738;-0.8222
0.4600;0.0461;0.0738;-0.8222
0.4800;0.0852;0.0790;-0.9676
0.5000;0.0303;0.1642;-1.5118
0.5200;0.0303;0.1642;-1.5118
0.5400;-0.1883;0.0540;-1.8494
0.5600;-0.1883;0.0540;-1.8494
0.5800;-0.2440;0.0428;-1.8142
0.6000;-0.1703;0.0910;-1.4585
0.6200;-0.1703;0.0910;-1.4585
0.6400;-0.0105;0.1322;-1.0452
0.6600;-0.0105;0.1322;-1.0452
0.6800;0.0269;0.1373;-0.9822
0.7000;0.0156;0.0880;-1.0469
0.7200;0.0156;0.0880;-1.0469
