Time ; x ; y ; z
0.0200;-0.1449;-0.8395;0.1478
0.0400;-0.1449;-0.8395;0.1478
0.0600;-0.1041;-0.8314;0.0198
0.0800;-0.0633;-0.7731;0.0174
0.1000;-0.0633;-0.7731;0.0174
0.1200;-0.0662;-0.6529;-0.1138
0.1400;-0.0662;-0.6529;-0.1138
0.1600;-0.1109;-0.4875;-0.1685
0.1800;-0.0889;-0.3578;-0.2645
0.2000;-0.0889;-0.3578;-0.2645
0.2200;0.0137;-0.0779;-0.4853
0.2400;0.0137;-0.0779;-0.4853
0.2600;0.1246;0.1857;-0.9378
0.2800;0.2340;0.3017;-1.2341
0.3000;0.2340;0.3017;-1.2341
0.3200;0.1509;0.3860;-1.9766
0.3400;0.1509;0.3860;-1.9766
0.3600;-0.1263;0.2971;-1.8936
0.3800;-0.2123;0.2998;-1.7456
0.4000;-0.2123;0.2998;-1.7456
0.4200;-0.0765;0.1471;-1.3677
0.4400;-0.0765;0.1471;-1.3677
0.4600;0.0325;0.1442;-1.1786
0.4800;0.0913;0.1188;-0.9292
0.5000;0.0913;0.1188;-0.9292
0.5200;0.0222;0.0611;-0.8242
0.5400;0.0222;0.0611;-0.8242
0.5600;-0.0149;0.0008;-0.8164
0.5800;-0.0149;0.0008;-0.8164
0.6000;-0.0083;-0.0151;-0.8425
0.6200;-0.0083;-0.0151;-0.8425
0.6400;0.0388;-0.0060;-0.9016
0.6600;0.0567;0.0189;-0.9290
0.6800;0.0567;0.0189;-0.9290
0.7000;0.0471;0.0567;-1.0262
0.7200;0.0471;0.0567;-1.0262
