Time ; x ; y ; z
0.0200;-0.0696;-0.8050;0.3266
0.0400;-0.0696;-0.8050;0.3266
0.0600;-0.0239;-0.8459;0.1407
0.0800;0.0498;-0.8681;-0.0811
0.1000;0.0498;-0.8681;-0.0811
0.1200;-0.0122;-0.8534;-0.1475
0.1400;-0.0122;-0.8534;-0.1475
0.1600;-0.0562;-0.8019;-0.1893
0.1800;0.0227;-0.7054;-0.2208
0.2000;0.0227;-0.7054;-0.2208
0.2200;0.0601;-0.6893;-0.3403
0.2400;0.0601;-0.6893;-0.3403
0.2600;0.0127;-0.5520;-0.4768
0.2800;0.0227;-0.3761;-0.5562
0.3000;0.0227;-0.3761;-0.5562
0.3200;0.0598;-0.2887;-0.6249
0.3400;0.0598;-0.2887;-0.6249
0.3600;-0.0012;-0.1472;-0.9360
0.3800;0.0281;0.0323;-1.1598
0.4000;0.0281;0.0323;-1.1598
0.4200;0.0950;0.0743;-1.2790
0.4400;0.0950;0.0743;-1.2790
0.4600;0.1207;0.1066;-1.3863
0.4800;-0.0811;0.1955;-1.4984
0.5000;-0.0811;0.1955;-1.4984
0.5200;-0.1365;0.1906;-1.4696
0.5400;-0.1365;0.1906;-1.4696
0.5600;-0.0086;0.1708;-1.3547
0.5800;-0.0357;0.1300;-1.1495
0.6000;-0.0357;0.1300;-1.1495
0.6200;-0.0520;0.1156;-1.0460
0.6400;-0.0520;0.1156;-1.0460
0.6600;-0.0313;0.0958;-0.8825
0.6800;-0.0447;0.0387;-0.8789
0.7000;-0.0447;0.0387;-0.8789
0.7200;-0.0308;0.0306;-0.8725
