Time ; x ; y ; z
0.0200;-0.0513;-0.8744;0.2460
0.0400;0.0957;-0.8417;0.1002
0.0600;0.0957;-0.8417;0.1002
0.0800;0.0115;-0.8415;-0.0449
0.1000;-0.0066;-0.8490;-0.0755
0.1200;-0.0066;-0.8490;-0.0755
0.1400;-0.0408;-0.8437;-0.2118
0.1600;-0.0408;-0.8437;-0.2118
0.1800;-0.0823;-0.7230;-0.2726
0.2000;-0.0423;-0.7054;-0.3278
0.2200;-0.0423;-0.7054;-0.3278
0.2400;0.0335;-0.5711;-0.4397
0.2600;0.0335;-0.5711;-0.4397
0.2800;-0.0010;-0.4118;-0.5921
0.3000;-0.0078;-0.3021;-0.6849
0.3200;-0.0078;-0.3021;-0.6849
0.3400;-0.0132;-0.1047;-0.8222
0.3600;-0.0132;-0.1047;-0.8222
0.3800;-0.0254;0.0509;-1.0841
0.4000;0.0454;0.0990;-1.1503
0.4200;0.0454;0.0990;-1.1503
0.4400;0.1661;0.2114;-1.3787
0.4600;0.1661;0.2114;-1.3787
0.4800;0.0198;0.2903;-1.6036
0.5000;-0.0887;0.2597;-1.6031
0.5200;-0.0887;0.2597;-1.6031
0.5400;-0.0520;0.2605;-1.3381
0.5600;-0.0520;0.2605;-1.3381
0.5800;0.0076;0.2155;-1.1251
0.6000;0.0305;0.2106;-1.0643
0.6200;0.0305;0.2106;-1.0643
0.6400;0.0342;0.1913;-0.9485
0.6600;0.0342;0.1913;-0.9485
0.6800;0.0144;0.1305;-0.8928
0.7000;0.0049;0.1090;-0.8838
0.7200;0.0049;0.1090;-0.8838
