Time ; x ; y ; z
0.0200;-0.2140;-0.7171;0.0496
0.0400;-0.2140;-0.7171;0.0496
0.0600;-0.1148;-0.6243;-0.1131
0.0800;-0.0576;-0.5171;-0.1744
0.1000;-0.0576;-0.5171;-0.1744
0.1200;0.1068;-0.2364;-0.4126
0.1400;0.1068;-0.2364;-0.4126
0.1600;0.2147;0.0130;-0.9326
0.1800;0.0674;0.0697;-1.2851
0.2000;0.0674;0.0697;-1.2851
0.2200;0.2020;0.0978;-1.7778
0.2400;0.2020;0.0978;-1.7778
0.2600;0.0173;-0.0126;-1.5228
0.2800;-0.0589;-0.0363;-1.3010
0.3000;-0.0589;-0.0363;-1.3010
0.3200;0.0376;-0.0427;-1.1210
0.3400;0.0376;-0.0427;-1.1210
0.3600;0.0826;0.0291;-1.1608
0.3800;0.0520;0.0489;-1.1617
0.4000;0.0520;0.0489;-1.1617
0.4200;0.0413;0.0372;-1.1085
0.4400;0.0413;0.0372;-1.1085
0.4600;0.0486;0.0423;-1.0645
0.4800;0.0486;0.0423;-1.0645
0.5000;0.0408;0.0301;-1.0450
0.5200;0.0408;0.0301;-1.0450
0.5400;0.0315;0.0186;-0.9663
0.5600;0.0396;0.0162;-0.9419
0.5800;0.0396;0.0162;-0.9419
0.6000;0.0466;0.0152;-0.9815
0.6200;0.0466;0.0152;-0.9815
0.6400;0.0611;0.0174;-1.0142
0.6600;0.0432;0.0108;-0.9995
0.6800;0.0432;0.0108;-0.9995
0.7000;0.0454;0.0142;-0.9800
0.7200;0.0454;0.0142;-0.9800
