Time ; x ; y ; z
0.0200;0.0591;-0.2738;0.6771
0.0400;-0.0467;-0.1030;0.5196
0.0600;-0.0467;-0.1030;0.5196
0.0800;-0.1632;0.3484;0.0401
0.1000;-0.1632;0.3484;0.0401
0.1200;-0.0054;1.0829;-1.3012
0.1400;-0.0081;1.0922;-2.0665
0.1600;-0.0081;1.0922;-2.0665
0.1800;0.3234;0.6342;-2.9784
0.2000;0.3234;0.6342;-2.9784
0.2200;-0.2861;0.4058;-2.3604
0.2400;-0.2189;0.2817;-1.6007
0.2600;-0.2189;0.2817;-1.6007
0.2800;-0.2189;0.2817;-1.6007
0.3000;0.0667;0.1332;-0.8899
0.3200;0.0667;0.1332;-0.8899
0.3400;0.1290;0.0397;-0.8481
0.3600;0.0506;0.0472;-0.8740
0.3800;0.0506;0.0472;-0.8740
0.4000;-0.0330;-0.0121;-0.8606
0.4200;-0.0330;-0.0121;-0.8606
0.4400;-0.0257;-0.0520;-0.8923
0.4600;-0.0127;-0.0615;-0.9019
0.4800;-0.0127;-0.0615;-0.9019
0.5000;0.0298;-0.0283;-0.9295
0.5200;0.0545;-0.0107;-0.9658
0.5400;0.0545;-0.0107;-0.9658
0.5600;0.0247;-0.0273;-0.9773
0.5800;0.0247;-0.0273;-0.9773
0.6000;-0.0007;-0.0266;-1.0257
0.6200;0.0034;-0.0334;-1.0467
0.6400;0.0034;-0.0334;-1.0467
0.6600;-0.0041;-0.0197;-1.0293
0.6800;-0.0041;-0.0197;-1.0293
0.7000;-0.0056;0.0052;-1.0032
0.7200;-0.0041;-0.0026;-0.9788
