Time ; x ; y ; z
0.0200;-0.0618;-0.9392;0.3283
0.0400;-0.0618;-0.9392;0.3283
0.0600;-0.0486;-0.8532;0.2802
0.0800;-0.0530;-0.8065;0.2111
0.1000;-0.0530;-0.8065;0.2111
0.1200;-0.0554;-0.8002;0.0931
0.1400;-0.0554;-0.8002;0.0931
0.1600;-0.0437;-0.6712;-0.0950
0.1800;-0.0291;-0.5447;-0.2357
0.2000;-0.0291;-0.5447;-0.2357
0.2200;-0.0029;-0.4047;-0.4250
0.2400;-0.0029;-0.4047;-0.4250
0.2600;-0.0083;-0.2232;-0.7462
0.2800;0.0208;-0.1257;-0.9058
0.3000;0.0208;-0.1257;-0.9058
0.3200;0.1495;0.0501;-1.1222
0.3400;0.1495;0.0501;-1.1222
0.3600;0.1422;0.1078;-1.3640
0.3800;0.0659;0.1119;-1.5086
0.4000;0.0659;0.1119;-1.5086
0.4200;0.0093;0.1581;-1.6655
0.4400;0.0093;0.1581;-1.6655
0.4600;-0.0244;0.1061;-1.5633
0.4800;-0.1451;0.1310;-1.3345
0.5000;-0.1451;0.1310;-1.3345
0.5200;-0.0335;0.0709;-1.1329
0.5400;-0.0335;0.0709;-1.1329
0.5600;0.0203;0.0560;-0.9734
0.5800;0.0022;0.0423;-0.9089
0.6000;0.0022;0.0423;-0.9089
0.6200;-0.0159;0.0172;-0.8576
0.6400;-0.0174;-0.0053;-0.8559
0.6600;-0.0174;-0.0053;-0.8559
0.6800;-0.0171;-0.0263;-0.9089
0.7000;-0.0171;-0.0263;-0.9089
0.7200;-0.0039;0.0128;-0.9803
