Time ; x ; y ; z
0.0200;-0.0611;-0.7386;0.1493
0.0400;-0.0611;-0.7386;0.1493
0.0600;-0.0496;-0.6609;0.0369
0.0800;-0.0345;-0.5346;-0.2079
0.1000;-0.0345;-0.5346;-0.2079
0.1200;0.0259;-0.3676;-0.2528
0.1400;0.0259;-0.3676;-0.2528
0.1600;0.0855;0.0208;-0.4275
0.1800;-0.0638;0.3552;-1.0025
0.2000;-0.0638;0.3552;-1.0025
0.2200;-0.0447;0.4097;-1.4085
0.2400;-0.0447;0.4097;-1.4085
0.2600;0.2724;0.4449;-2.0780
0.2800;-0.0171;0.2795;-2.0064
0.3000;-0.0171;0.2795;-2.0064
0.3200;-0.1666;0.2509;-1.7297
0.3400;-0.1666;0.2509;-1.7297
0.3600;-0.1378;0.0997;-1.1750
0.3800;-0.0203;0.0819;-0.9763
0.4000;-0.0203;0.0819;-0.9763
0.4200;0.0418;0.0868;-0.9395
0.4400;0.0418;0.0868;-0.9395
0.4600;0.0520;0.0350;-0.8711
0.4800;-0.0002;-0.0092;-0.8230
0.5000;-0.0002;-0.0092;-0.8230
0.5200;-0.0342;-0.0363;-0.8017
0.5400;-0.0342;-0.0363;-0.8017
0.5600;0.0037;-0.0185;-0.8510
0.5800;0.0770;0.0242;-0.9917
0.6000;0.0770;0.0242;-0.9917
0.6200;0.0742;0.0318;-1.0352
0.6400;0.0742;0.0318;-1.0352
0.6600;0.0264;0.0426;-1.0745
0.6800;0.0264;0.0426;-1.0745
0.7000;0.0259;0.0372;-1.0401
0.7200;0.0259;0.0372;-1.0401
