Time ; x ; y ; z
0.0200;-0.1813;-0.8771;0.1463
0.0400;-0.1813;-0.8771;0.1463
0.0600;-0.1769;-0.9123;0.0948
0.0800;-0.1769;-0.9123;0.0948
0.1000;-0.1468;-0.8910;0.2015
0.1200;-0.1510;-0.8102;0.2277
0.1400;-0.1510;-0.8102;0.2277
0.1600;-0.1390;-0.7396;0.1817
0.1800;-0.1390;-0.7396;0.1817
0.2000;-0.0745;-0.5811;-0.0117
0.2200;-0.0601;-0.3895;-0.2501
0.2400;-0.0601;-0.3895;-0.2501
0.2600;0.0533;-0.2334;-0.4512
0.2800;0.0533;-0.2334;-0.4512
0.3000;0.1602;0.0047;-0.8217
0.3200;0.2404;0.1801;-1.3156
0.3400;0.2404;0.1801;-1.3156
0.3600;0.2611;0.1415;-1.4351
0.3800;0.2611;0.1415;-1.4351
0.4000;0.0288;0.1874;-1.5519
0.4200;-0.1046;0.1693;-1.5985
0.4400;-0.1046;0.1693;-1.5985
0.4600;-0.1102;0.1545;-1.5404
0.4800;-0.1102;0.1545;-1.5404
0.5000;-0.0208;0.1721;-1.4009
0.5200;0.0222;0.1288;-1.1466
0.5400;0.0222;0.1288;-1.1466
0.5600;0.0032;0.1298;-1.0350
0.5800;0.0032;0.1298;-1.0350
0.6000;-0.0161;0.0812;-0.8830
0.6200;-0.0152;0.0504;-0.9050
0.6400;-0.0152;0.0504;-0.9050
0.6600;-0.0198;0.0367;-0.9141
0.6800;-0.0198;0.0367;-0.9141
0.7000;0.0122;0.0340;-0.9082
0.7200;-0.0010;0.0216;-0.9458
